1,9985,2723,3593,1984,6817,5098
2,1763,2410,1987,1982,5918,3928
3,4646,4455,5119,1994,1710,2335
4,1730,4522,1810,2560,1785,1847
5,1802,1986,5968,5006,3792,4959
6,6359,1825,525,1723,6424,3284
7,5801,323,2357,937,1769,6317
8,5126,4329,1775,1108,6419,5013
9,2335,1802,9999,1939,1730,2410
10,1810,4646,1825,1763,5006,2723
11,4522,5098,1982,3284,5968,5801
12,1987,1775,1723,5119,323,5126
13,3928,3593,6424,937,6419,1986
14,1994,1108,3792,2357,6817,6359
15,4455,1939,1785,5013,6317,9985
16,9999,1984,1847,5918,525,4959
17,1769,2560,1825,1986,1710,4329
18,3593,5968,1810,1723,1994,2410
19,6817,4522,6317,1763,5126,2335
20,5918,5801,5119,6419,4959,9985
21,1775,937,1785,9999,3792,1769
22,525,1802,3284,2723,1710,1987
23,1108,6424,4646,1984,1939,323
24,4455,3928,2560,1847,2357,5098
25,5006,4329,5013,6359,1982,1730
26,4522,2410,9985,1987,1769,1986
27,1710,1763,5801,1108,1984,5968
28,1802,937,6817,1810,1723,4455
29,5126,6317,4646,4959,9999,3928
30,1785,1994,5918,4329,6424,2335
31,323,5013,2560,1825,3284,3593
32,5006,1730,2357,5119,525,1775
33,1847,3792,6419,1982,1939,2723
34,5098,937,1987,6359,2335,1108
35,3593,1785,5013,1802,4646,5801
36,3284,4959,1763,2410,4455,1775
37,1730,1984,3928,1825,323,1994
38,6317,2560,1710,6419,5918,5006
39,2723,1847,1769,5968,6359,5126
40,9999,2357,1982,9985,1810,6424
41,1986,5098,1939,6817,1723,5119
42,3792,6317,4329,525,4522,3593
43,6419,1769,1763,1994,1802,1847
44,4959,1982,1785,1825,1108,937
45,1986,3284,6817,4646,5918,1730
46,1710,5126,525,2410,5098,1810
47,1775,5006,6359,3928,5801,1939
48,5968,9999,4455,1987,4329,323
49,6424,5119,2357,2723,5013,4522
50,3792,2335,1723,2560,9985,1984
51,1939,4959,1710,3593,1994,1982
52,323,1763,525,1785,6359,1986
53,4522,1825,5918,5098,1775,1802
54,5119,1108,2723,2560,9999,2410
55,2357,1987,6419,1723,4646,1984
56,9985,1847,5006,4329,3284,937
57,5801,4455,5126,6424,1730,3792
58,2335,3928,6817,5013,5968,1769
59,1810,2723,1994,1775,1986,6317
60,323,1723,9999,1710,5006,4522
61,5126,9985,937,525,2560,4646
62,5968,1987,1939,2357,1785,1825
63,5918,1810,1108,1769,3593,4455
64,4959,5013,1730,3792,1763,5098
65,6317,6359,1984,1982,5119,1802
66,1847,2410,4329,5801,6817,6424
67,3284,2335,1810,1723,3928,6419
